reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
67372fb4-d1e5-4f5e-b958-89d961a544ab,Naeem Naseem,https://play-lh.googleusercontent.com/a/ACg8ocKbMu9I32fG_VZI4yXSL0fE-mL8nyHGxvNn5IAy-a2lawt0Fg=mo,Must bad,5,1,364.0.0.35.86,2025-01-25 20:57:02,,,364.0.0.35.86
858d8b47-32e3-445a-af24-81bfa89181a3,Kailash bhil Bhil,https://play-lh.googleusercontent.com/a/ACg8ocJLmDTWw3AWXQ5NAoutoAgLT8OLlMMYwA_4m1PyDaT7L4pTFA=mo,Kajlashbhi ha,5,1,364.0.0.35.86,2025-01-25 20:14:57,,,364.0.0.35.86
200044f8-1a44-4580-8d99-a6474f39b5e2,Arghadeep Paul,https://play-lh.googleusercontent.com/a/ACg8ocIG7qO-i_e9CGzfw2gV7lR7dUdtDez1P89uc86SMkik2SMzcA=mo,Nice appp,5,1,,2025-01-25 18:41:05,,,
0ddea57c-73b9-4490-9e5e-b630caab0ca7,Harshil Parmar,https://play-lh.googleusercontent.com/a/ACg8ocKk_3LGHgA4ODP_QvvNWCVrk5vHoRzcXgU1oHMqwkkOh2LXFA=mo,😎😎,5,2,,2025-01-25 11:02:32,,,
792dc1f0-0889-4364-8dfb-73009fd94568,pavan vishwakarma,https://play-lh.googleusercontent.com/a/ACg8ocKooSBeCHlt9HI_lJQqDtynumKl-ClG5zN0NQPu1Wibh0-7Cg=mo,I follow all your partner monetization policies but still the account is showing (You're currently unable to monetize). Please correct it as soon as possible.,5,5,363.0.0.29.80,2025-01-25 08:34:16,,,363.0.0.29.80
6a258622-20bf-4dd8-95d3-3641f39417b1,Anup Kujur,https://play-lh.googleusercontent.com/a-/ALV-UjWbetmYJgZiO7Uv7dDFP-Wvz9pRDcatKNeOdqZB1_szNJot592A,Single Boi 😔😔😔😔,5,2,364.0.0.35.86,2025-01-25 03:24:36,,,364.0.0.35.86
64e60946-02a4-4e36-99c3-8c43f4f4c982,mini kumari,https://play-lh.googleusercontent.com/a-/ALV-UjW0ReGty5bqwYMF_RkjmfPsLHtRsOPNwAYYJk2g0qdH6VuGRCo,Wonderful app... I like it so much.. ❤🌺,5,5,320.0.0.42.101,2025-01-25 02:28:25,,,320.0.0.42.101
936bda61-d3fe-449e-b8da-fd0e38129050,Mukesh Rafaliya,https://play-lh.googleusercontent.com/a-/ALV-UjUwBXPEntg9srjjaQ3EQ5VG_SxnSg5Wll9BXaW9FmT0RKcK1aOJ,Bakwas app hai koi ladki replay hi nahi deti😆😀😀😀,5,5,364.0.0.35.86,2025-01-24 20:40:16,,,364.0.0.35.86
16c01067-3d27-4dc7-93c5-54374e8b2a1e,Uzma Khan,https://play-lh.googleusercontent.com/a/ACg8ocImqPQ9xv8RGPVjxinr50P9GfOTsR25NWSzyZfWXEuiTVe24w=mo,Fantastic app,5,0,,2025-01-24 16:12:32,,,
885ff259-d493-466a-b66e-eeeb4698f8e7,sibam Raja,https://play-lh.googleusercontent.com/a/ACg8ocKTwwxUBriHNI_YRAcHrxHGoBUF9m0vcIN68LGijZh4NgVAIw=mo,Moaning and groaning,5,1,,2025-01-24 16:11:17,,,
7b5e207d-4d4f-4178-9878-d198fdab77c3,Priyanshu Pandey,https://play-lh.googleusercontent.com/a-/ALV-UjXoq-JEesyk8Jr5wKeiVYL8_PZYrtuWZsNPfu5ylfBFGyKB0lU,It's so amazing but,5,0,363.0.0.29.80,2025-01-24 15:49:52,,,363.0.0.29.80
